baseInfoKeyList,baseInfoValueList,detail,image_url,name
"中文名：,品牌：,类别：,产地：,变速箱：,油耗：","北京BW007,北汽制造,SUV,国产,手动,13.11升/百公里",,,北京BW007
"中文名：,品牌：,类别：,产地：,变速箱：","越铃,北汽制造,低端皮卡,国产,手动",,,越铃
品牌：,陆霸,,http://tupian.baike.com/a0_68_74_01300543720715145587748982358_jpg.html,陆霸
"中文名：,品牌：,类别：,产地：,变速箱：,油耗：","锐铃,北汽制造,低端皮卡,国产,手动,10升/百公里",,,锐铃
"中文名：,品牌：,类别：,产地：,变速箱：,车身结构：","EV系列,北汽新能源,小型车,国产,自动,两厢车",,,EV系列
"中文名称：,外文名：,别称：","电子伏特,Electron-Volt,eV","电子伏特(electronvolt)是能量的单位.eV是电子伏特的英文缩写，，代表一个电子（所带电量）在经过1个伏特（volt）的电场加速后所获得的动能。,
电子伏特为量度微观粒子能量的一种非国际单位制的能量单位.它表示一个电量与电子电量大小相同的粒子（例如质子，但是由于习惯大家都称之为电子伏特）通过电势差为1伏特的电场加速后，增加的能量，叫做一个电子伏[特]，记为eV.,
1eV=1eX1V≈1.602x10^(-19)C·V=1.602x10^(-19)J.,
1eV=1.60217653(14)×10^(-19)J(joule焦耳）(Source:CODATA2002recommendedvalues)焦耳为SI制下的能量单位.,
1MeV=1.0E+6eV=1.60217733E^(-13)J.,
爱因斯坦提到能量等同于质量，即有名的能量转换公式E=mc^2(1kg=90petajoules).这在粒子物理中的使用，质量和能量常可互换，使用eV/c2或甚至直接使用eV做为质量的一个单位.（后者使用时，把光速C设为不具单位的1）　例如，一个电子及一个正子（电子的反粒子），都具有质量大小为511keV，能对撞毁灭以产生1.022MeV的能量。质子，一个标准的重子，具有质量0.938GeV.,
1eV/c2=1.783E-36kg.,
1keV/c2=1.783E-33kg.,
1MeV/c2=1.783E-30kg.,
1GeV/c2=1.783E-27kg.,
若做个比较，核爆中带电粒子的能量范围约在0.3至3MeV.大气中分子的能量约为0.03eV.将粒子的能量从电子伏特转换到开氏温度时，要乘以11,605.,曝光值（Exposure Value）:是由快门速度值和光圈值组合表示摄影镜头通光能力的一个数值。,在曝光的时候，通常用快门速度(T)和光圈值(f)的组合来表示，为简单起见，曾经用Light Value (LV)来表示，统一用EV来表示。EV是英语Exposure Values的缩写,是反映曝光多少的一个量，其最初定义为：当感光度为ISO 100、光圈系数为F1、曝光时间为1秒时，曝光量定义为0,曝光量减少一档(快门时间减少一半或者光圈缩小一档),EV值增加1。,EV值的计算：,假定所设定的光圈值为f，快门速度为T，则有如下关系:,EV = 3.322 log10(f×f/T),曝光值每增加1将改变一挡曝光，也就是将曝光量减半，比如将曝光时间或光圈面积减半。这一点可能会引起迷惑。之所以是减少而不是增加，是因为曝光值反映的是相机拍摄参数的设置，而非底片的照度（这一点将在下一段中提到）。曝光值的增加对应于更快的快门速度和更大的f值。因此，明亮的环境或是较高的感光度（一般称作ISO）应当对应于较大的曝光值。,数码相机的测光曝光系统和传统相机一样，在处理图像时，有个很基本的准则，就是将所有被摄对象都按照18%的中性灰亮度来还原，所以在相机的感光系统看，无论对象原来亮度如何，最后都应以中等亮度的影调展示。所以在实际拍摄时，仍然需要摄影者根据拍摄现场的复杂情况作出相应判断，只有这样才能够确保获得理想的密度和色彩还原。,Electro-Voice公司于2006年被德国罗伯特博世BOSCH公司收购，一直延续EV品牌，主要产品应用复盖专业音响，功放，话筒，音频处理等。,Electro-Voice以优良的服务和支持为后盾，致力于提供高性能的系统来满足客户的各种需求。我们的目标是通过提供最高水准的服务，让您可以更轻松地了解我们并促成业务合作。,使用我们的技术支持门户网站，您可以轻松的找到常用的在线工具链接，并查看常见问题的解答。此外，您还可以通过查看我们知识库里的技术文章、提示和解决方案，以此来获取常见的支持。,ev就是业绩单位，1ev=1美元（USD)的业绩，ev从哪里来的呢？1ev=7.8港币(HKD),主要有三个方面：,1、注册时公司送的业绩,2、消费/销售/购物时产生业绩,3、使用科士威联名白金卡和去科士威联会商家消费都可以获得等比例的业绩,4、MSA 分析之重复性，为EV。,EV（Enterprise Value） 表示,，是衡量公司价值的一种方式，经常以直接的公司市值的替代形式出现。EV的计算公式是：EV=公司市值+负债+少数股东权益+优先股－现金以及现金等价物（EV = Market Capitalization + Interest Bearing Debt + Preferred Stock - Excess Cash）,人们经常将EV看作是接管的理论价格。在,活动中，收购方必须承担被收购方的负债，这提高了并购的成本，但与此同时，被收购公司的现金以及现金等价物在收购之后将直接落入收购者的口袋，这对收购者来说等同于减少了收购成本。EV和直接的公司市值在很多方面都有差别，因此有很多人把它作为公司价值更精确的代表。比如，当收购方收购其它公司时，它要同时承担对方公司的债务，因此EV提供了一个更为准确的收购估值，因为在EV的估值计算当中加入了债务。,几乎所有的投资者都知道PE。了解EV/EBITDA倍数的人也在增多。但真正能准确理解其背后含义、现实中的变形并能熟练使用的投资者可能还不多。其实这是一个在估值实践中与PE并驾齐驱的估值方法，由于能有效的弥补PE的一些不足，它在国外的运用程度甚至比PE更为普遍。EV/EBITDA倍数和PE同属于可比法，在使用的方法和原则上大同小异，只是选取的指标口径有所不同。,从指标的计算上来看，EV/EBITDA倍数使用企业价值（EV），即投入企业的所有资本的市场价值代替PE中的股价，使用息税折旧前盈利（EBITDA）代替PE中的每股,。企业所有投资人的资本投入既包括股东权益也包括债权人的投入，而EBITDA则反映了上述所有投资人所获得的税前收益水平。相对于PE是股票市值和预测净利润的比值，EV/EBITDA则反映了投资资本的市场价值和未来一年企业收益间的比例关系。因此，总体来讲，PE和EV/EBITDA反映的都是市场价值和收益指标间的比例关系，只不过PE是从股东的角度出发，而EV/EBITDA则是从全体投资人的角度出发。在EV/EBITDA方法下，要最终得到对股票市值的估计，还必须减去债权的价值。在缺乏债权市场的情况下，可以使用债务的账面价值来近似估计。,在具体运用中，EV/EBITDA倍数法和PE法的使用前提一样，都要求企业预测的未来收益水平必须能够体现企业未来的收益流量和风险状况的主要特征。这体现于可比公司选择的各项假设和具体要求上，缺失了这些前提，该方法同样也就失去了合理估值的功能。相比而言，由于指标选取角度的不同，EV/EBITDA倍数弥补了PE倍数的一些不足，使用的范围也更为广泛。,首先，以收益为基础的可比法的一个使用前提是收益必须为正。如果一个企业的预测净利润为负值，则PE就失效了。相比而言，由于EBITDA指标中扣除的费用项目较少，因此其相对于净利润而言成为负数的可能性也更小，因而具有比PE更广泛的使用范围。其次，由于在EBITDA指标中不包含财务费用，因此它不受企业融资政策的影响，不同资本结构的企业在这一指标下更具有可比性。同样，由于EBITDA为扣除折旧摊销费用之前的收益指标，企业间不同的折旧政策也不会对上述指标产生影响，这也避免了折旧政策差异以及折旧反常等现象对估值合理性的影响。最后，EBITDA指标中不包括投资收益、营业外收支等其他收益项目，仅代表了企业主营业务的运营绩效，这也使企业间的比较更加纯粹，真正体现了企业主业运营的经营效果以及由此而应该具有的价值。当然，这也要求单独评估长期投资的价值，并在最终的计算结果中加回到股东价值之中。,总体而言，相比于将所有因素都综合在一起的净利润指标，EBITDA剔除了诸如财务杠杆使用状况、折旧政策变化，长期投资水平等非营运因素的影响、更为纯粹，因而也更为清晰地展现了企业真正的运营绩效。这有利于投资者排除各种干扰，更为准确地把握企业核心业务的经营状况。同时，从指标对企业价值的反映程度上来说，由于剔除了上述因素的影响，企业单一年度的EBITDA指标与企业未来收益和风险的相关性更高，换句话说，影响企业单一年度EBITDA水平的因素和影响企业未来所有年度EBITDA水平的因素更为一致，而影响企业单一年度净利润的因素则相对复杂和多变。也正因为如此，作为一种以可比为基础的估值方法，EV/EBITDA倍数法的合理性相对于PE也就更强。,当然，和其他任何方法一样，EV/EBITDA也有一些固有的缺陷。首先，和PE比较起来，EV/EBITDA方法要稍微复杂一些，至少还要对债权的价值以及长期投资的价值进行单独估计。其次，EBITDA中没有考虑到税收因素，因此，如果两个公司之间的税收政策差异很大，这个指标的估值结果就会失真。最后，和PE一样，EBITDA也是一个单一的年度指标，并没有考虑到企业未来增长率这个对于企业价值判断至关重要的因素，因而也只有在两个企业具有近似增长前景的条件下才适用。,EV/EBITDA倍数法作为当前专业投资人员越来越普遍采用的一种估值方法，其主要优势就在于EBITDA指标对企业收益的更清晰度量，以及该指标和企业价值之间更强的相关性。然而在某些具体行业中，由于行业特性和会计处理规定可能会导致上述关系一定程度的扭曲，这时就需要使用者对EBITDA指标进行一定的调整，恢复其衡量企业主营业务税前绩效的合理性。以航空公司为例，公司运营的飞机有的是自筹资金购买的，这在财务报表上显示为企业的固定资产需要每年计提折旧。如上所述，这类费用并不在EBITDA指标中扣除。但航空公司中还有相当一部分飞机是租来的，每年付给飞机租赁公司一定的费用，而这部分费用在财务报表中显示为经营费用，在EBITDA指标中已经进行了扣除。显然，如果单纯的比较航空公司EBITDA水平就会有失公允。所以，此时应该将航空公司EBITDA指标中已经扣除的租赁费用加回，变形为EBITDAR指标，从而实现公司之间的可比性，相应的估值方法也变形为EV/EBITDAR倍数法。在石油行业中，勘探活动可以界定为高风险投资活动。要衡量石油公司的运营绩效，需要将勘探费用加回以进行比较，此时相应的估值方法演化为EV/EBITDAX。,DSP芯片的事件管理模块（Event manager module,EV）含有通用,、比较/PWM单元、捕获单元和正交编码器脉冲电路及终端逻辑等，主要用于实现运动控制等功能。,EV: ( Electric Vehicle ) 是电动汽车的英文缩写。尽管我国纯电动汽车技术已经非常成熟，但由于种种原因，纯电动汽车要在短期内实现产业化仍有困难。业内专家指出，充电站的普及是纯电动汽车产业化的关键。同时，国家产业政策应为纯电动汽车提供一个良好的应用环境，促进其产业化的进程。,混合动力车型在进行低速行驶时，启动这个模式，车辆可仅靠,提供的电力工作，发动机没有介入。车辆的噪音几乎被消除，同时实现零排放。这也是完全油电混合动力系统与轻混（弱混）之间的显著区别之一。当混合动力车型上的EV按钮被按下时，系统将会限制发动机的启动，也就是说只有电动机来驱动车辆，从而不会对周围的环境产生噪音和尾气污染。,雷克萨斯混合动力车型在进行,时，启动此模式，车辆可仅靠电池提供的电力工作，发动机没有介入。车辆的噪音几乎被消除，同时实现零排放。这也是完全油电混合动力系统与轻混（弱混）之间的显着区别之一。,工作原理,当雷克萨斯混合动力车型上的EV按钮被按下时，系统将会限制发动机的启动，也就是说只有电动机来驱动车辆，从而不会对周围的环境产生噪音和尾气污染。,此功能有利于保护环境，也能体现出雷克萨斯车主关注环境的良好素质。,项目管理术语：Earned Value，以前称之为BCWP(budgeted cost for work performed)。,.ev是萨尔瓦多的国家域名,属于海外域名。,对注册.ev域名的资格没有任何限制，任何一个国家的个人或企业均可注册。",,eV
baseInfoKeyList,baseInfoValueList,detail,image_url,name
品牌：,陆霸,,http://tupian.baike.com/a0_68_74_01300543720715145587748982358_jpg.html,陆霸
"中文名：,品牌：,类别：,产地：,变速箱：","越铃,北汽制造,低端皮卡,国产,手动",,,越铃
"中文名：,品牌：,类别：,产地：,变速箱：,油耗：","锐铃,北汽制造,低端皮卡,国产,手动,10升/百公里",,,锐铃
